X,Y,name,datetime
-7.2302616,57.669504,EA49502,2023-07-22T17:27:00.000000Z
-7.2301448,57.6694784,EA49502,2023-07-22T17:32:00.000000Z
-7.2303288,57.6694016,EA49502,2023-07-22T17:37:00.000000Z
-7.230476,57.66928,EA49502,2023-07-22T17:42:00.000000Z
-7.2303368,57.66944,EA49502,2023-07-22T17:48:00.000000Z
-7.2301592,57.6694784,EA49502,2023-07-22T17:49:00.000000Z
-7.2301384,57.669568,EA49502,2023-07-22T17:50:00.000000Z
-7.2305728,57.6693952,EA49502,2023-07-22T17:51:00.000000Z
-7.2304184,57.6693696,EA49502,2023-07-22T17:52:00.000000Z
-7.2307144,57.6693824,EA49502,2023-07-22T17:53:00.000000Z
-7.2307088,57.6693568,EA49502,2023-07-22T17:57:00.000000Z
-7.2439224,57.6659968,EA49503,2023-07-22T18:00:00.000000Z
-7.2306016,57.6692352,EA49502,2023-07-22T18:02:00.000000Z
-7.2302336,57.6693184,EA49502,2023-07-22T18:07:00.000000Z
-7.2309152,57.66912,EA49502,2023-07-22T18:08:00.000000Z
-7.2301184,57.66944,EA49502,2023-07-22T18:09:00.000000Z
-7.2310816000000004,57.6690368,EA49502,2023-07-22T18:11:00.000000Z
-7.2305392,57.6693056,EA49502,2023-07-22T18:12:00.000000Z
-7.2305664,57.6693184,EA49502,2023-07-22T18:13:00.000000Z
-7.23118,57.6689856,EA49502,2023-07-22T18:14:00.000000Z
-7.2306104,57.6692224,EA49502,2023-07-22T18:15:00.000000Z
-7.2307192,57.669248,EA49502,2023-07-22T18:16:00.000000Z
-7.2306992,57.669248,EA49502,2023-07-22T18:18:00.000000Z
-7.230472,57.6692032,EA49502,2023-07-22T19:58:00.000000Z
-7.2301128,57.6696064,EA49502,2023-07-22T21:58:00.000000Z
-7.2301976,57.6694976,EA49571,2023-07-22T22:03:00.000000Z
-7.2303728,57.6693504,EA49502,2023-07-23T01:58:00.000000Z
-7.230984,57.6695232,EA49502,2023-07-23T03:58:00.000000Z
-7.2308352,57.6694592,EA49502,2023-07-23T05:57:00.000000Z
-7.2440168,57.666016,EA49503,2023-07-23T06:00:00.000000Z
-7.2308584,57.669260800000004,EA49571,2023-07-23T06:02:00.000000Z
-7.2305744,57.6694208,EA49502,2023-07-23T07:57:00.000000Z
-7.240304,57.6695168,EA49503,2023-07-23T08:00:00.000000Z
-7.2312344,57.67056,EA49502,2023-07-23T09:08:00.000000Z
-7.2310168,57.6704128,EA49502,2023-07-23T09:12:00.000000Z
-7.2303392,57.66928,EA49502,2023-07-23T09:13:00.000000Z
-7.230504,57.6693376,EA49502,2023-07-23T09:14:00.000000Z
-7.2307512,57.6692288,EA49502,2023-07-23T09:15:00.000000Z
-7.230012,57.6694784,EA49502,2023-07-23T09:16:00.000000Z
-7.2299976,57.6694528,EA49502,2023-07-23T09:17:00.000000Z
-7.2299744,57.66944,EA49502,2023-07-23T09:22:00.000000Z
-7.2304256,57.6693696,EA49502,2023-07-23T09:27:00.000000Z
-7.2302608,57.6694656,EA49502,2023-07-23T09:32:00.000000Z
-7.2305112,57.6694208,EA49502,2023-07-23T09:58:00.000000Z
-7.2314112,57.670624,EA49571,2023-07-23T10:02:00.000000Z
-7.231312,57.668672,EA49502,2023-07-23T11:03:00.000000Z
-7.2300064,57.6694848,EA49571,2023-07-23T12:02:00.000000Z
-7.2307272,57.6695616,EA49502,2023-07-23T13:28:00.000000Z
-7.2306712,57.6696,EA49502,2023-07-23T13:32:00.000000Z
-7.230636,57.6696128,EA49502,2023-07-23T13:37:00.000000Z
-7.2305144,57.6696768,EA49502,2023-07-23T13:42:00.000000Z
-7.2304312,57.6697408,EA49502,2023-07-23T13:47:00.000000Z
-7.2305248,57.6696832,EA49502,2023-07-23T13:52:00.000000Z
-7.2307552,57.6696768,EA49502,2023-07-23T13:57:00.000000Z
-7.2307216,57.6696064,EA49502,2023-07-23T14:02:00.000000Z
-7.2305744,57.6706304,EA49571,2023-07-23T14:02:00.000000Z
-7.2307624,57.6695488,EA49502,2023-07-23T14:07:00.000000Z
-7.2307136,57.6695296,EA49502,2023-07-23T14:12:00.000000Z
-7.2307552,57.6694656,EA49502,2023-07-23T14:17:00.000000Z
-7.2307552,57.669504,EA49502,2023-07-23T14:22:00.000000Z
-7.2307624,57.6694848,EA49502,2023-07-23T14:27:00.000000Z
-7.2306392,57.6694656,EA49502,2023-07-23T14:32:00.000000Z
-7.230724,57.669504,EA49502,2023-07-23T14:37:00.000000Z
-7.2306832,57.6694784,EA49502,2023-07-23T14:42:00.000000Z
-7.2315152,57.6705984,EA49502,2023-07-23T14:47:00.000000Z
-7.2306248,57.6715136,EA49502,2023-07-23T14:52:00.000000Z
-7.2311904,57.6706176,EA49502,2023-07-23T14:53:00.000000Z
-7.2304544,57.6693184,EA49502,2023-07-23T14:54:00.000000Z
-7.230144,57.6694272,EA49502,2023-07-23T14:55:00.000000Z
-7.2300456,57.6694784,EA49502,2023-07-23T14:56:00.000000Z
-7.2300752,57.6694912,EA49502,2023-07-23T14:57:00.000000Z
-7.2309008,57.6694976,EA49502,2023-07-23T15:02:00.000000Z
-7.2308296,57.6694976,EA49502,2023-07-23T15:07:00.000000Z
-7.230796,57.6695104,EA49502,2023-07-23T15:12:00.000000Z
-7.2307064,57.6695552,EA49502,2023-07-23T15:17:00.000000Z
-7.2308136,57.6695744,EA49502,2023-07-23T15:22:00.000000Z
-7.2307976,57.6695424,EA49502,2023-07-23T15:27:00.000000Z
-7.2302632,57.669260800000004,EA49502,2023-07-23T15:32:00.000000Z
-7.2304264,57.6694144,EA49502,2023-07-23T15:37:00.000000Z
-7.2304424,57.6693376,EA49502,2023-07-23T15:42:00.000000Z
-7.2305624,57.669408,EA49502,2023-07-23T15:47:00.000000Z
-7.2307376,57.6694976,EA49502,2023-07-23T15:53:00.000000Z
